GSUID,spectrum_id,entropy,peak_count,fractal_dimension,spectral_variance
000ac7b198457345e0787adac5b526cef245000f,SPC-001335,7.236043588548084,4,1.028,2.1527391197864616
001ff623263fc966652bddd614d3fa39b8da2367,SPC-001244,7.1695178196374725,4,1.076,4.425664620128938
002342928542d7217206252b32945ea3a5f66f5d,SPC-000750,7.038146831773398,3,1.233,4.439674570135832
002cde1746bb9f4d533e8ed6550fd2e941b59c25,SPC-001129,6.716092814800552,2,1.015,6.151494251451306
0031183577a903a1697e917b224bc7969867631a,SPC-000386,6.670334075155204,2,1.0,1.6430367892843218
005bf1cf93bfd1494160dba01f9cfdd0d452b2e9,SPC-000480,7.570290356927197,5,1.031,3.8839372602010953
00a3eeace8d04f6c87b639b62e88fb5267168c36,SPC-000555,7.452781374977689,5,1.014,6.548435869119252
00c8b30865ff037fdcfc596f47cab425261b9718,SPC-000784,7.1335185063768245,2,1.049,11.070216002428385
00d40057f9003990547ffe6db427dc9a407f931b,SPC-000732,7.288799489834631,3,1.07,8.938377091849917
013670f8d0b1657d945a0ba5b77b13bd5e2e0791,SPC-001584,6.736556487969033,73,2.0,383.0491636695684
014bad7a2a6d8decbc7910be18af1bc535919cf4,SPC-001674,7.233847016513685,4,1.047,1.9715643729023273
016caae635be1c100c494426a6fedd6e29af88d7,SPC-000345,7.322596106761923,4,1.284,6.824985679171509
0172ce2450b3bf18144810b4093c4583e464d14a,SPC-000994,7.084090013848504,3,1.027,16.11027882855177
019335302582da34031ab4aafe63692e11720611,SPC-001619,6.835667664950767,2,1.236,1.9511255406402304
01b3314979adcc7fc0a7014cdb673c0dc4ab2e84,SPC-001525,7.034461527393745,3,1.026,5.461207638512775
01bf750b98f6e5647d68eb48e174b12e6145ed74,SPC-001045,7.095285861007344,5,1.302,2.383649204435942
01fd055a37a9f3c63ec33877e22e4a5b78d7d3b5,SPC-000989,6.192055364163277,1,1.0,10.710212713142166
0222500c48c55be4751f89ee0155b92a5f076e17,SPC-000820,6.450967533567381,46,1.753,2.079920811793843
026c142c845fe27a037266fecae123b64e96056e,SPC-000849,7.239322943618944,4,1.036,1.2645918311933453
02747bf3026ce5e34371a2c9615a2b02103bb4e9,SPC-001263,7.495033928580284,6,1.13,3.3391339644315337
02d4e41b91cfe0abd3e68d8967847b7b96e36919,SPC-001197,6.589969062747713,2,1.027,1.0373938463646812
030661f7ffed9be96ccad41356e723622c88a32b,SPC-001420,7.146744042743818,3,1.04,2.9246409241352165
03445aae78e07305c00fe01d49f15dbf4a178e52,SPC-000498,7.452471802360881,4,1.137,5.894283112322211
03891c642aaa97e8e3543a419efe0e35380350b6,SPC-001050,6.541991750982361,3,1.357,2.401601332201736
039137861c23ae9eaa936c564820930f8277e380,SPC-000040,7.365742138781653,4,1.015,4.058027004603152
039c3dc792309feff3c5f8dbf72b4b112580f98f,SPC-000261,6.518078159544979,2,1.036,10.363379864814537
03af84b0ab3dbe06340221a658839e5ebaa17adf,SPC-000096,6.574594580289023,3,1.056,1.1336091382686477
041b77f2acd436a8d4d9da0c20027d952115bf0d,SPC-000603,7.274097791647801,3,1.182,2.4376957874745098
041c1bd6e2cb13e772afd9bd7899d0d0d5ae46d6,SPC-001159,7.065627944110359,3,1.011,1.9640338009887126
0477b1db3d578acbc3a994d1ae12cc89d1cb74da,SPC-000393,7.3882134768785255,3,1.079,1.6738087673992752
04a5a41fecfc7adfeaa0d8da373b1680f2b5a32f,SPC-000856,7.322433060738828,3,1.04,10.243838069527383
04c6168965b5fb68645441010a6d400fdf62c737,SPC-001452,7.5530813959544165,5,1.048,1.1383159417106683
050b8ede397de5c7c3e58f7602e559e850e4aeab,SPC-001163,6.70910284324464,3,1.023,3.311086884233775
050d5a43fdfbf86ad446fa1514ea8229afa367d1,SPC-001247,6.396588445908723,4,1.083,1.4761546013981923
050ddd4d42afb6ba18486ec31bda621ea48bb76f,SPC-000503,7.118742702431025,5,1.081,7.043874518387258
057409cf98f0f5e7d828e321c72c4496646a2778,SPC-000819,7.123341406155552,38,1.588,4.384179444361739
0574c0bae847362d1a15d7e2fb4df7cf4149095b,SPC-000101,7.335918011160443,4,1.155,5.980425904511903
059ffb544d5076803aa25f6254bb3dba4574011e,SPC-000324,7.379598343258721,3,1.004,3.833928642357621
05b13cfcd4ee4ba848e157701ff26e561d35709f,SPC-001382,7.37358639913332,4,1.012,4.932244134609432
05c48b154abac7c69f5927b1b35945a9bed9c499,SPC-001630,7.505571510365929,4,1.035,2.464085654287378
05cd8c33ff706ffdc91b0f6c122714979b0c84f5,SPC-000887,7.1814472589416205,4,1.196,1.4325564668524977
05e41d4877f1783293ff3d1c3dae105788dc773c,SPC-001193,7.230427709666441,3,1.017,4.882551165909281
05e8085449add4d52ad0cf62cfa9cbff6498b2e7,SPC-001393,7.404219324000847,5,1.044,1.6786141235712029
0655ce5d8171e86702405095cf1530191524817c,SPC-000229,7.244518898381624,3,1.035,12.868480203683175
065a9a85943346da630b959092bb4ef500436ba3,SPC-000908,7.360824317762178,3,1.112,3.0400826167300794
0663af4051bec66e27f65e684290bcce715ac652,SPC-000167,7.199298023863282,3,1.005,2.5094254583508087
0675107e8e1b74efe435fde7e0844009c5bbaa93,SPC-000081,7.250590605769597,3,1.01,12.513160544088253
06768c2edcaa03f82c99387ac504eb595fc88844,SPC-001451,7.316243406302818,3,1.015,9.973511576733339
067719406178a1c883737d953c2c4095c7ce7cb0,SPC-001655,7.306105110132495,3,1.081,8.464721496669931
0698906b83ed6ff1bf34d9a69b001efd0ac0f90b,SPC-001269,7.159298055116249,6,1.3,5.273159063224383
069b38dfa5f6e260f5b0337881fb44e40a54fe5f,SPC-001768,6.670474682024931,3,1.219,0.43024683632859545
06a6f087479a6b6605127811688ba8e5f1085980,SPC-001442,7.346989030603124,3,1.014,8.179625005739798
