GSUID,spectrum_id,crystal_system,space_group,symmetry_rank,symmetry_index,symmetry_complexity_score
000ac7b198457345e0787adac5b526cef245000f,SPC-001335,Monoclinic,C2/m,2,0.2857142857142857,0.7142857142857143
001ff623263fc966652bddd614d3fa39b8da2367,SPC-001244,Monoclinic,C2/m,2,0.2857142857142857,0.7142857142857143
002342928542d7217206252b32945ea3a5f66f5d,SPC-000750,Orthorhombic,Pbca,3,0.42857142857142855,0.5714285714285714
002cde1746bb9f4d533e8ed6550fd2e941b59c25,SPC-001129,Hexagonal,P6/mcc,6,0.8571428571428571,0.1428571428571429
0031183577a903a1697e917b224bc7969867631a,SPC-000386,Tetragonal,P4_2/mnm,4,0.5714285714285714,0.4285714285714286
005bf1cf93bfd1494160dba01f9cfdd0d452b2e9,SPC-000480,Monoclinic,C2/c,2,0.2857142857142857,0.7142857142857143
00a3eeace8d04f6c87b639b62e88fb5267168c36,SPC-000555,Monoclinic,C2/c,2,0.2857142857142857,0.7142857142857143
00c8b30865ff037fdcfc596f47cab425261b9718,SPC-000784,Orthorhombic,Pbca,3,0.42857142857142855,0.5714285714285714
00d40057f9003990547ffe6db427dc9a407f931b,SPC-000732,Orthorhombic,Pbca,3,0.42857142857142855,0.5714285714285714
013670f8d0b1657d945a0ba5b77b13bd5e2e0791,SPC-001584,Hexagonal,P63/m,6,0.8571428571428571,0.1428571428571429
014bad7a2a6d8decbc7910be18af1bc535919cf4,SPC-001674,Trigonal,R-3c,5,0.7142857142857143,0.2857142857142857
016caae635be1c100c494426a6fedd6e29af88d7,SPC-000345,Tetragonal,P4_2/mnm,4,0.5714285714285714,0.4285714285714286
0172ce2450b3bf18144810b4093c4583e464d14a,SPC-000994,Trigonal,P3121,5,0.7142857142857143,0.2857142857142857
019335302582da34031ab4aafe63692e11720611,SPC-001619,Trigonal,R-3c,5,0.7142857142857143,0.2857142857142857
01b3314979adcc7fc0a7014cdb673c0dc4ab2e84,SPC-001525,Triclinic,C1,1,0.14285714285714285,0.8571428571428572
01bf750b98f6e5647d68eb48e174b12e6145ed74,SPC-001045,Trigonal,P3121,5,0.7142857142857143,0.2857142857142857
