composite_spectrum_id,normalized_spectrum_id,mineral_id,mineral_name,source,original_filename,sample_name,mapping_confidence
Albite_bir1jb587_4633e90c,ALB010,17,Albite,relab,bir1jb587.tab,bir1jb587,HIGH
Albite_bir1sr047_6427af6c,ALB011,17,Albite,relab,bir1sr047.tab,bir1sr047,HIGH
Albite_bir1sr047a_15d8fde0,ALB012,17,Albite,relab,bir1sr047a.tab,bir1sr047a,HIGH
Albite_bir2sr047_a712f887,ALB013,17,Albite,relab,bir2sr047.tab,bir2sr047,HIGH
Albite_c1dh15_ef11f5ae,ALB014,17,Albite,relab,c1dh15.tab,c1dh15,HIGH
Albite_c1dh24_16b10f6d,ALB015,17,Albite,relab,c1dh24.tab,c1dh24,HIGH
Albite_c1jb587_baff7df4,ALB016,17,Albite,relab,c1jb587.tab,c1jb587,HIGH
Albite_c1pa05_ba019b9f,ALB017,17,Albite,relab,c1pa05.tab,c1pa05,HIGH
Albite_c1sr47_357d7915,ALB018,17,Albite,relab,c1sr47.tab,c1sr47,HIGH
Albite_c1sr47a_ef84a2f1,ALB019,17,Albite,relab,c1sr47a.tab,c1sr47a,HIGH
Albite_c1ys04_e78345c1,ALB020,17,Albite,relab,c1ys04.tab,c1ys04,HIGH
Albite_capa05_005cb627,ALB021,17,Albite,relab,capa05.tab,capa05,HIGH
Albite_cbpa05_d598ad75,ALB022,17,Albite,relab,cbpa05.tab,cbpa05,HIGH
Albite_ccpa05_3c7f3c48,ALB023,17,Albite,relab,ccpa05.tab,ccpa05,HIGH
Albite_cepa05_c3bf6283,ALB024,17,Albite,relab,cepa05.tab,cepa05,HIGH
Albite_cgpa05_ebf32c2b,ALB025,17,Albite,relab,cgpa05.tab,cgpa05,HIGH
Albite_nnapa5_836c5c80,ALB043,17,Albite,relab,nnapa5.tab,nnapa5,HIGH
Albite_nnbpa5_17d32278,ALB044,17,Albite,relab,nnbpa5.tab,nnbpa5,HIGH
Albite_nncpa5_35014566,ALB045,17,Albite,relab,nncpa5.tab,nncpa5,HIGH
Albite_nnepa5_405bcc80,ALB046,17,Albite,relab,nnepa5.tab,nnepa5,HIGH
Albite_nnfpa5_402e6b05,ALB047,17,Albite,relab,nnfpa5.tab,nnfpa5,HIGH
Albite_nngpa5_ece05772,ALB048,17,Albite,relab,nngpa5.tab,nngpa5,HIGH
Andradite_c1gn10a_96e1c326,AND015,3,Andradite,relab,c1gn10a.tab,c1gn10a,HIGH
Andradite_c1mx60_d7db98de,AND016,3,Andradite,relab,c1mx60.tab,c1mx60,HIGH
Andradite_cagn04_989a664b,AND017,3,Andradite,relab,cagn04.tab,cagn04,HIGH
Andradite_m1gn04_a1d4945b,AND037,3,Andradite,relab,m1gn04.tab,m1gn04,HIGH
Apatite_397s224_6b673031,APA001,18,Apatite,relab,397s224.tab,397s224,HIGH
Apatite_bir1jb273a_1902b7c4,APA023,18,Apatite,relab,bir1jb273a.tab,bir1jb273a,HIGH
Apatite_bir1jb273d_3f414935,APA024,18,Apatite,relab,bir1jb273d.tab,bir1jb273d,HIGH
Apatite_bir1jb274a_da30f1fa,APA025,18,Apatite,relab,bir1jb274a.tab,bir1jb274a,HIGH
Apatite_bir1jb274d_7d24b3c6,APA026,18,Apatite,relab,bir1jb274d.tab,bir1jb274d,HIGH
Apatite_bir1jb275a_b76ad9ba,APA027,18,Apatite,relab,bir1jb275a.tab,bir1jb275a,HIGH
Apatite_bir1jb275d_bd7cb0ad,APA028,18,Apatite,relab,bir1jb275d.tab,bir1jb275d,HIGH
Apatite_bir1jb320_8387033b,APA029,18,Apatite,relab,bir1jb320.tab,bir1jb320,HIGH
Apatite_bir1jb322_fcf69bd8,APA030,18,Apatite,relab,bir1jb322.tab,bir1jb322,HIGH
Apatite_bir1jb324_3db673cb,APA031,18,Apatite,relab,bir1jb324.tab,bir1jb324,HIGH
Apatite_bir1sr055_f15aff9f,APA032,18,Apatite,relab,bir1sr055.tab,bir1sr055,HIGH
Apatite_bir1sr055a_68bbdcda,APA033,18,Apatite,relab,bir1sr055a.tab,bir1sr055a,HIGH
Apatite_bmr1np030_40f6155c,APA034,18,Apatite,relab,bmr1np030.tab,bmr1np030,HIGH
Apatite_bmr1np031_7926e9c8,APA035,18,Apatite,relab,bmr1np031.tab,bmr1np031,HIGH
Apatite_bmr1np032_860a2bc5,APA036,18,Apatite,relab,bmr1np032.tab,bmr1np032,HIGH
Apatite_bmr1np033_c55716c9,APA037,18,Apatite,relab,bmr1np033.tab,bmr1np033,HIGH
Apatite_bmr1np034_d55565c1,APA038,18,Apatite,relab,bmr1np034.tab,bmr1np034,HIGH
Apatite_bmr1np035_37d76c20,APA039,18,Apatite,relab,bmr1np035.tab,bmr1np035,HIGH
Apatite_bmr1np036_1b9e9e45,APA040,18,Apatite,relab,bmr1np036.tab,bmr1np036,HIGH
Apatite_bmr1np037_2940df6b,APA041,18,Apatite,relab,bmr1np037.tab,bmr1np037,HIGH
Apatite_c1jb224_14a09b08,APA042,18,Apatite,relab,c1jb224.tab,c1jb224,HIGH
Apatite_c1jb273a_c2f61fb3,APA043,18,Apatite,relab,c1jb273a.tab,c1jb273a,HIGH
Apatite_c1jb273d_47bd761d,APA044,18,Apatite,relab,c1jb273d.tab,c1jb273d,HIGH
Apatite_c1jb274a_a9bc07b2,APA045,18,Apatite,relab,c1jb274a.tab,c1jb274a,HIGH
Apatite_c1jb274d_75c51012,APA046,18,Apatite,relab,c1jb274d.tab,c1jb274d,HIGH
Apatite_c1jb275a_4ebd674a,APA047,18,Apatite,relab,c1jb275a.tab,c1jb275a,HIGH
Apatite_c1jb275d_9c6c274a,APA048,18,Apatite,relab,c1jb275d.tab,c1jb275d,HIGH
Apatite_c1jb320_98831091,APA049,18,Apatite,relab,c1jb320.tab,c1jb320,HIGH
Apatite_c1jb321_13b9b5be,APA050,18,Apatite,relab,c1jb321.tab,c1jb321,HIGH
Apatite_c1jb322_aeb31b0a,APA051,18,Apatite,relab,c1jb322.tab,c1jb322,HIGH
Apatite_c1jb324_cfe6784b,APA052,18,Apatite,relab,c1jb324.tab,c1jb324,HIGH
Apatite_c1sg05_8982480a,APA053,18,Apatite,relab,c1sg05.tab,c1sg05,HIGH
Apatite_c1sr55_f4de1ecb,APA054,18,Apatite,relab,c1sr55.tab,c1sr55,HIGH
Apatite_c1sr55a_f70f5eb4,APA055,18,Apatite,relab,c1sr55a.tab,c1sr55a,HIGH
Apatite_c2jb320_202fa60e,APA056,18,Apatite,relab,c2jb320.tab,c2jb320,HIGH
Apatite_c2jb322_c8475504,APA057,18,Apatite,relab,c2jb322.tab,c2jb322,HIGH
Apatite_came02_1ac582f6,APA058,18,Apatite,relab,came02.tab,came02,HIGH
Augite_bir1dd003_85f2fd14,AUG001,8,Augite,relab,bir1dd003.tab,bir1dd003,HIGH
Augite_bir2dd003_85a71638,AUG002,8,Augite,relab,bir2dd003.tab,bir2dd003,HIGH
Augite_bir2dd018_fc6fb9e4,AUG003,8,Augite,relab,bir2dd018.tab,bir2dd018,HIGH
Augite_bmr1ck006_144a0755,AUG004,8,Augite,relab,bmr1ck006.tab,bmr1ck006,HIGH
Augite_bmr1ck022_87263aa9,AUG005,8,Augite,relab,bmr1ck022.tab,bmr1ck022,HIGH
Augite_bmr1ck023_b8994758,AUG006,8,Augite,relab,bmr1ck023.tab,bmr1ck023,HIGH
Augite_bmr1ck024_b67e363a,AUG007,8,Augite,relab,bmr1ck024.tab,bmr1ck024,HIGH
Augite_bmr1ck025_bb44eabd,AUG008,8,Augite,relab,bmr1ck025.tab,bmr1ck025,HIGH
Augite_bmr1ck026_20caf529,AUG009,8,Augite,relab,bmr1ck026.tab,bmr1ck026,HIGH
Augite_bmr1ck027_004494c8,AUG010,8,Augite,relab,bmr1ck027.tab,bmr1ck027,HIGH
Augite_bmr1ck028_04af71d5,AUG011,8,Augite,relab,bmr1ck028.tab,bmr1ck028,HIGH
Augite_bmr1cp001a_7c90296e,AUG012,8,Augite,relab,bmr1cp001a.tab,bmr1cp001a,HIGH
Augite_bmr1cp001b_6b614d2b,AUG013,8,Augite,relab,bmr1cp001b.tab,bmr1cp001b,HIGH
Augite_bmr1cp001c_e9ed74c8,AUG014,8,Augite,relab,bmr1cp001c.tab,bmr1cp001c,HIGH
Augite_bmr1cp001d_08bd7848,AUG015,8,Augite,relab,bmr1cp001d.tab,bmr1cp001d,HIGH
Augite_bmr1cp001e_dcc1b027,AUG016,8,Augite,relab,bmr1cp001e.tab,bmr1cp001e,HIGH
Augite_bmr1cp001f_b3ae8fe3,AUG017,8,Augite,relab,bmr1cp001f.tab,bmr1cp001f,HIGH
Augite_bmr1dh004_9d90efe2,AUG018,8,Augite,relab,bmr1dh004.tab,bmr1dh004,HIGH
Augite_c1ag10_8d4e174f,AUG019,8,Augite,relab,c1ag10.tab,c1ag10,HIGH
Augite_c1ag12_532fc7f3,AUG020,8,Augite,relab,c1ag12.tab,c1ag12,HIGH
Augite_c1ag13_9878b674,AUG021,8,Augite,relab,c1ag13.tab,c1ag13,HIGH
Augite_c1ag15_2706b8f0,AUG022,8,Augite,relab,c1ag15.tab,c1ag15,HIGH
Augite_c1ag16_cb3ce3c1,AUG023,8,Augite,relab,c1ag16.tab,c1ag16,HIGH
Augite_c1ag21_c0a93be9,AUG024,8,Augite,relab,c1ag21.tab,c1ag21,HIGH
Augite_c1ag22_66cc6091,AUG025,8,Augite,relab,c1ag22.tab,c1ag22,HIGH
Augite_c1ag23_0c2c7de5,AUG026,8,Augite,relab,c1ag23.tab,c1ag23,HIGH
Augite_c1ag24_80090113,AUG027,8,Augite,relab,c1ag24.tab,c1ag24,HIGH
Augite_c1ag25_19ca0af8,AUG028,8,Augite,relab,c1ag25.tab,c1ag25,HIGH
Augite_c1ag26_528f03b5,AUG029,8,Augite,relab,c1ag26.tab,c1ag26,HIGH
Augite_c1ag27_72320d9e,AUG030,8,Augite,relab,c1ag27.tab,c1ag27,HIGH
Augite_c1ag28_14db2b4d,AUG031,8,Augite,relab,c1ag28.tab,c1ag28,HIGH
Augite_c1ag29_4a145207,AUG032,8,Augite,relab,c1ag29.tab,c1ag29,HIGH
Augite_c1ag30_2f1f2946,AUG033,8,Augite,relab,c1ag30.tab,c1ag30,HIGH
Augite_c1ag31_6efe193c,AUG034,8,Augite,relab,c1ag31.tab,c1ag31,HIGH
Augite_c1ag32_f9765709,AUG035,8,Augite,relab,c1ag32.tab,c1ag32,HIGH
Augite_c1ag33_483352b8,AUG036,8,Augite,relab,c1ag33.tab,c1ag33,HIGH
Augite_c1ag34_1faf0f15,AUG037,8,Augite,relab,c1ag34.tab,c1ag34,HIGH
Augite_c1ag35_72da115d,AUG038,8,Augite,relab,c1ag35.tab,c1ag35,HIGH
Augite_c1ag36_deccc385,AUG039,8,Augite,relab,c1ag36.tab,c1ag36,HIGH
Augite_c1ag37_ce1fb7ba,AUG040,8,Augite,relab,c1ag37.tab,c1ag37,HIGH
Augite_c1ag38_b607e404,AUG041,8,Augite,relab,c1ag38.tab,c1ag38,HIGH
Augite_c1ag39_77848866,AUG042,8,Augite,relab,c1ag39.tab,c1ag39,HIGH
Augite_c1ag40_24fb767c,AUG043,8,Augite,relab,c1ag40.tab,c1ag40,HIGH
Augite_c1ag41_77e87652,AUG044,8,Augite,relab,c1ag41.tab,c1ag41,HIGH
Augite_c1ag42_18d777ee,AUG045,8,Augite,relab,c1ag42.tab,c1ag42,HIGH
Augite_c1ag43_b4ba6d51,AUG046,8,Augite,relab,c1ag43.tab,c1ag43,HIGH
Augite_c1ag44_663f7ee6,AUG047,8,Augite,relab,c1ag44.tab,c1ag44,HIGH
Augite_c1ag45_98733a8c,AUG048,8,Augite,relab,c1ag45.tab,c1ag45,HIGH
Augite_c1ag46_5ae6b26d,AUG049,8,Augite,relab,c1ag46.tab,c1ag46,HIGH
Augite_c1ag47_3195b0a3,AUG050,8,Augite,relab,c1ag47.tab,c1ag47,HIGH
Augite_c1ag48_7c238216,AUG051,8,Augite,relab,c1ag48.tab,c1ag48,HIGH
Augite_c1ag49_244359c8,AUG052,8,Augite,relab,c1ag49.tab,c1ag49,HIGH
Augite_c1ag50_b89d361d,AUG053,8,Augite,relab,c1ag50.tab,c1ag50,HIGH
Augite_c1ag51_e3b475d5,AUG054,8,Augite,relab,c1ag51.tab,c1ag51,HIGH
Augite_c1ck06_d94c6f1f,AUG055,8,Augite,relab,c1ck06.tab,c1ck06,HIGH
Augite_c1ck22_8e5055a7,AUG056,8,Augite,relab,c1ck22.tab,c1ck22,HIGH
Augite_c1ck23_4bd0bcb0,AUG057,8,Augite,relab,c1ck23.tab,c1ck23,HIGH
Augite_c1ck24_8a75e900,AUG058,8,Augite,relab,c1ck24.tab,c1ck24,HIGH
Augite_c1ck25_0cf81d1d,AUG059,8,Augite,relab,c1ck25.tab,c1ck25,HIGH
Augite_c1ck26_5a99b02c,AUG060,8,Augite,relab,c1ck26.tab,c1ck26,HIGH
Augite_c1ck27_9ae9db72,AUG061,8,Augite,relab,c1ck27.tab,c1ck27,HIGH
Augite_c1ck28_f0614c06,AUG062,8,Augite,relab,c1ck28.tab,c1ck28,HIGH
