spectrum_id,mineral_name,source_library,original_filename,measurement_type,instrument,collection_date,grain_size,sample_origin,reference_source,crystal_system,formula,space_group,space_group_number,wavelength_min,wavelength_max,num_points,processing_steps,smoothing_window,smoothing_polynomial_order,interpolation_method,normalization_method,quality_flag,coverage,interpolated_points,pre_variance,post_variance,negatives_clipped,outliers_adjusted,quality_score
Albite_bir1jb587_4633e90c,Albite,relab,bir1jb587.tab,reflectance,unknown,unknown,unknown,unknown,,unknown,,,,1.0,99718.8,6435,"cleaning,interpolation,normalization,continuum_removal",11,3,linear,minmax,OK,1.0,2101,75.29512628043386,72.3234851260734,0,858,
Albite_bir1sr047_6427af6c,Albite,relab,bir1sr047.tab,reflectance,unknown,unknown,unknown,unknown,,unknown,,,,1.0,25050.2,2678,"cleaning,interpolation,normalization,continuum_removal",11,3,linear,minmax,OK,1.0,2101,0.6330741542428694,0.6320397934466694,0,287,
Albite_bir1sr047a_15d8fde0,Albite,relab,bir1sr047a.tab,reflectance,unknown,unknown,unknown,unknown,,unknown,,,,-235.0,49859.4,5086,"cleaning,interpolation,normalization,continuum_removal",11,3,linear,minmax,OK,1.0,2101,0.8366462761274305,0.8355378401023373,0,462,
Albite_bir2sr047_a712f887,Albite,relab,bir2sr047.tab,reflectance,unknown,unknown,unknown,unknown,,unknown,,,,-235.0,49859.4,6122,"cleaning,interpolation,normalization,continuum_removal",11,3,linear,minmax,OK,1.0,2101,67.15216242216705,67.09260945689938,0,805,
Albite_c1dh15_ef11f5ae,Albite,relab,c1dh15.tab,reflectance,unknown,unknown,unknown,unknown,,unknown,,,,1.0,2600.0,464,"cleaning,interpolation,normalization,continuum_removal",11,3,linear,minmax,OK,1.0,2101,0.33532017861079927,0.3350530478725494,0,8,
Albite_c1dh24_16b10f6d,Albite,relab,c1dh24.tab,reflectance,unknown,unknown,unknown,unknown,,unknown,,,,1.0,2600.0,464,"cleaning,interpolation,normalization,continuum_removal",11,3,linear,minmax,OK,1.0,2101,0.935449246689786,0.9346186955566661,0,10,
Albite_c1jb587_baff7df4,Albite,relab,c1jb587.tab,reflectance,unknown,unknown,unknown,unknown,,unknown,,,,1.0,2550.0,459,"cleaning,interpolation,normalization,continuum_removal",11,3,linear,minmax,OK,1.0,2101,1047.9734659637102,1006.5094681234993,0,35,
Albite_c1pa05_ba019b9f,Albite,relab,c1pa05.tab,reflectance,unknown,unknown,unknown,unknown,,unknown,,,,1.0,2600.0,463,"cleaning,interpolation,normalization,continuum_removal",11,3,linear,minmax,OK,1.0,2101,0.02781320545628618,0.02778515134206892,0,9,
Albite_c1sr47_357d7915,Albite,relab,c1sr47.tab,reflectance,unknown,unknown,unknown,unknown,,unknown,,,,1.0,2550.0,450,"cleaning,interpolation,normalization,continuum_removal",11,3,linear,minmax,OK,1.0,2101,4.421961419322758,4.422829475180446,0,10,
Albite_c1sr47a_ef84a2f1,Albite,relab,c1sr47a.tab,reflectance,unknown,unknown,unknown,unknown,,unknown,,,,1.0,2550.0,451,"cleaning,interpolation,normalization,continuum_removal",11,3,linear,minmax,OK,1.0,2101,3.7114043139980937,3.7074394945140923,1,10,
Albite_c1ys04_e78345c1,Albite,relab,c1ys04.tab,reflectance,unknown,unknown,unknown,unknown,,unknown,,,,1.0,2550.0,227,"cleaning,interpolation,normalization,continuum_removal",11,3,linear,minmax,OK,1.0,2101,0.9584689728229551,0.9419649393652327,0,20,
Albite_capa05_005cb627,Albite,relab,capa05.tab,reflectance,unknown,unknown,unknown,unknown,,unknown,,,,25.0,2600.0,463,"cleaning,interpolation,normalization,continuum_removal",11,3,linear,minmax,OK,1.0,2101,0.056233424356764004,0.05612565563649302,0,8,
Albite_cbpa05_d598ad75,Albite,relab,cbpa05.tab,reflectance,unknown,unknown,unknown,unknown,,unknown,,,,25.0,2600.0,463,"cleaning,interpolation,normalization,continuum_removal",11,3,linear,minmax,OK,1.0,2101,0.005004306547542379,0.00499719561953639,1,7,
Albite_ccpa05_3c7f3c48,Albite,relab,ccpa05.tab,reflectance,unknown,unknown,unknown,unknown,,unknown,,,,30.0,2600.0,463,"cleaning,interpolation,normalization,continuum_removal",11,3,linear,minmax,OK,1.0,2101,0.005829164776169215,0.005824395226952742,1,16,
Albite_cepa05_c3bf6283,Albite,relab,cepa05.tab,reflectance,unknown,unknown,unknown,unknown,,unknown,,,,30.0,2600.0,462,"cleaning,interpolation,normalization,continuum_removal",11,3,linear,minmax,OK,1.0,2101,0.0027132631132567816,0.0027058682982049817,0,10,
Albite_cgpa05_ebf32c2b,Albite,relab,cgpa05.tab,reflectance,unknown,unknown,unknown,unknown,,unknown,,,,30.0,2600.0,462,"cleaning,interpolation,normalization,continuum_removal",11,3,linear,minmax,OK,1.0,2101,0.0038606610934308156,0.0038534236181615392,0,15,
Albite_nnapa5_836c5c80,Albite,relab,nnapa5.tab,reflectance,unknown,unknown,unknown,unknown,,unknown,,,,30.0,25920.7,4762,"cleaning,interpolation,normalization,continuum_removal",11,3,linear,minmax,OK,1.0,2101,289.6035661592026,263.8470264013084,0,362,
Albite_nnbpa5_17d32278,Albite,relab,nnbpa5.tab,reflectance,unknown,unknown,unknown,unknown,,unknown,,,,30.0,25920.7,4668,"cleaning,interpolation,normalization,continuum_removal",11,3,linear,minmax,OK,1.0,2101,341.35348705227557,310.99183044782035,0,285,
Albite_nncpa5_35014566,Albite,relab,nncpa5.tab,reflectance,unknown,unknown,unknown,unknown,,unknown,,,,1.0,25920.7,4756,"cleaning,interpolation,normalization,continuum_removal",11,3,linear,minmax,OK,1.0,2101,0.08958988163819163,0.08833428559001981,0,492,
Albite_nnepa5_405bcc80,Albite,relab,nnepa5.tab,reflectance,unknown,unknown,unknown,unknown,,unknown,,,,4.0,25920.7,3605,"cleaning,interpolation,normalization,continuum_removal",11,3,linear,minmax,OK,1.0,2101,0.12411419361855332,0.12246310413091949,0,201,
Albite_nnfpa5_402e6b05,Albite,relab,nnfpa5.tab,reflectance,unknown,unknown,unknown,unknown,,unknown,,,,4.0,25920.7,3606,"cleaning,interpolation,normalization,continuum_removal",11,3,linear,minmax,OK,1.0,2101,0.12169814666790871,0.12004607193731383,0,229,
Albite_nngpa5_ece05772,Albite,relab,nngpa5.tab,reflectance,unknown,unknown,unknown,unknown,,unknown,,,,4.0,25920.7,3595,"cleaning,interpolation,normalization,continuum_removal",11,3,linear,minmax,OK,1.0,2101,0.12083269060122614,0.11917377714407627,0,175,
Andradite_c1gn10a_96e1c326,Andradite,relab,c1gn10a.tab,reflectance,unknown,unknown,unknown,unknown,,unknown,,,,1.0,2550.0,227,"cleaning,interpolation,normalization,continuum_removal",11,3,linear,minmax,OK,1.0,2101,0.9081735432289737,0.9063446127561388,0,17,
Andradite_c1mx60_d7db98de,Andradite,relab,c1mx60.tab,reflectance,unknown,unknown,unknown,unknown,,unknown,,,,1.0,2550.0,228,"cleaning,interpolation,normalization,continuum_removal",11,3,linear,minmax,OK,1.0,2101,14.772358648010224,14.781502301187095,0,17,
Andradite_cagn04_989a664b,Andradite,relab,cagn04.tab,reflectance,unknown,unknown,unknown,unknown,,unknown,,,,30.0,2600.0,463,"cleaning,interpolation,normalization,continuum_removal",11,3,linear,minmax,OK,1.0,2101,1.1096969805509287,1.0752568577402735,0,30,
Andradite_m1gn04_a1d4945b,Andradite,relab,m1gn04.tab,reflectance,unknown,unknown,unknown,unknown,,unknown,,,,-4.0,25920.7,2684,"cleaning,interpolation,normalization,continuum_removal",11,3,linear,minmax,OK,1.0,2101,3.482998739391946,3.480478295148357,0,254,
Apatite_397s224_6b673031,Apatite,relab,397s224.tab,reflectance,unknown,unknown,unknown,unknown,,unknown,,,,30.0,28641.6,2756,"cleaning,interpolation,normalization,continuum_removal",11,3,linear,minmax,OK,1.0,2101,7.107127187833505,6.980943250921956,0,184,
Apatite_bir1jb273a_1902b7c4,Apatite,relab,bir1jb273a.tab,reflectance,unknown,unknown,unknown,unknown,,unknown,,,,1.0,99718.8,6434,"cleaning,interpolation,normalization,continuum_removal",11,3,linear,minmax,OK,1.0,2101,9.474492924771445,9.466407684093797,0,1051,
Apatite_bir1jb273d_3f414935,Apatite,relab,bir1jb273d.tab,reflectance,unknown,unknown,unknown,unknown,,unknown,,,,1.0,99718.8,6434,"cleaning,interpolation,normalization,continuum_removal",11,3,linear,minmax,OK,1.0,2101,9.533352379736447,9.52575281976301,0,910,
Apatite_bir1jb274a_da30f1fa,Apatite,relab,bir1jb274a.tab,reflectance,unknown,unknown,unknown,unknown,,unknown,,,,1.0,99718.8,6434,"cleaning,interpolation,normalization,continuum_removal",11,3,linear,minmax,OK,1.0,2101,9.533773719033025,9.525541517479162,0,1012,
Apatite_bir1jb274d_7d24b3c6,Apatite,relab,bir1jb274d.tab,reflectance,unknown,unknown,unknown,unknown,,unknown,,,,1.0,99718.8,6434,"cleaning,interpolation,normalization,continuum_removal",11,3,linear,minmax,OK,1.0,2101,9.60372513867651,9.596081254870006,0,997,
Apatite_bir1jb275a_b76ad9ba,Apatite,relab,bir1jb275a.tab,reflectance,unknown,unknown,unknown,unknown,,unknown,,,,1.0,99718.8,6434,"cleaning,interpolation,normalization,continuum_removal",11,3,linear,minmax,OK,1.0,2101,9.609927276436169,9.601688271495712,0,958,
Apatite_bir1jb275d_bd7cb0ad,Apatite,relab,bir1jb275d.tab,reflectance,unknown,unknown,unknown,unknown,,unknown,,,,1.0,99718.8,6434,"cleaning,interpolation,normalization,continuum_removal",11,3,linear,minmax,OK,1.0,2101,9.667859975245946,9.660102360574786,0,931,
Apatite_bir1jb320_8387033b,Apatite,relab,bir1jb320.tab,reflectance,unknown,unknown,unknown,unknown,,unknown,,,,1.0,99718.8,6434,"cleaning,interpolation,normalization,continuum_removal",11,3,linear,minmax,OK,1.0,2101,12.893112959471251,12.880962791669035,0,995,
Apatite_bir1jb322_fcf69bd8,Apatite,relab,bir1jb322.tab,reflectance,unknown,unknown,unknown,unknown,,unknown,,,,1.0,99718.8,6435,"cleaning,interpolation,normalization,continuum_removal",11,3,linear,minmax,OK,1.0,2101,13.056649461387538,13.0443750610476,1,919,
Apatite_bir1jb324_3db673cb,Apatite,relab,bir1jb324.tab,reflectance,unknown,unknown,unknown,unknown,,unknown,,,,1.0,99718.8,6435,"cleaning,interpolation,normalization,continuum_removal",11,3,linear,minmax,OK,1.0,2101,13.218719994672648,13.206272084204361,1,921,
