spectrum_id,GSUID,mineral_id,source,instrument,sample_name
SPC-000001,10453560cbfc6faa0af3e1a94d66e43675021c62,1,RELAB,UNKNOWN,c1sc71
SPC-000002,bc409540c76a6182c6257fb6947439662bda94df,1,RRUFF,Raman,R040065
SPC-000003,753893496b643df3f0e9bc762506aea98971ca3e,1,RRUFF,Raman,R040066
SPC-000004,0ff0aecb86467f519125901823199c1191ba8319,1,RRUFF,Raman,R050036
SPC-000005,6b8a86dad57f05fb8c7ae4b7ea3902668be0a946,1,RRUFF,Raman,R050081
SPC-000006,7e9fae2dc3934316f2db462c790e06f8656c4832,1,RRUFF,Raman,R050312
SPC-000007,4ca636174d2badb9848b73b3c36d7108add7fe0a,1,RRUFF,Raman,R060278
SPC-000008,79c87b870559acc7e963b48f3542f91ff79778e3,1,RRUFF,Raman,R060382
SPC-000009,1741ca1f4b22547ed4c86a142de401801a284946,1,RRUFF,Raman,R060442
SPC-000010,5066174430d517af9cdf0dbd484c8e5da253fa10,1,RRUFF,Raman,R060443
SPC-000011,76ce112e446ac630c8db2256b571b9ceddb68137,1,RRUFF,Raman,R060444
SPC-000012,329e152529fceab19e8bf4f9f9aee5efa2d6b681,1,RRUFF,Raman,R060446
SPC-000013,17bfc2e11c3041fef55cf4f9b2aa0db7d5146348,1,RRUFF,Raman,R060452
SPC-000014,6348dd3e2b42810a2e2dd26697f2257fdecb65e4,1,RRUFF,Raman,R060453
SPC-000015,757e9802d2ae3fe34dc535df0c0aa413aeb9ce48,1,RRUFF,Raman,R060499
SPC-000016,a70a95d5d4a837f4dcfe95839543898c57a51843,1,RRUFF,Raman,R070551
SPC-000017,4eba12504d3f2dfa0bfa176a794278ec4c1ebf8d,1,RRUFF,Raman,R100146
SPC-000018,ff22ecc6ff3f4b8600f0921b07f4dffb05123db9,1,RRUFF,Raman,R100152
SPC-000019,3e0df97f4d198e3f23d044a6855a7b642e1a10f3,1,RRUFF,Raman,R100160
SPC-000020,944b3d3da31f9d8cf9a41ab095080e0cfd234c37,1,RRUFF,Raman,R100161
SPC-000021,a058a6977efd68a2b9b76fe11f70a9132b5c352d,1,RRUFF,Raman,R141207
SPC-000022,378ce910470b4cb71158d5bbb6393b994988a9b7,1,RRUFF,UNKNOWN,X060020_Raman_514_Raman_Data_Processed_3786276562695fbecb0d616bd60d
SPC-000023,db5817df88ebadb78e5c4978ad5fbe4e81634318,1,USGS,ASD,AV00
SPC-000024,0ad47c0965ee482fea9278c61c3c792a6cf2521b,1,USGS,ASD,AV00
SPC-000025,9624450195dc133991a61eee45b54bc42230c204,1,USGS,ASD,AV00
SPC-000026,3e03e970a2678a3951c3dba49baea6505817eeda,1,USGS,ASD,AV00
SPC-000027,74d2399de49d9239d52367009cbf889db04addfb,1,USGS,ASD,AV00
SPC-000028,9b01de14f87847f9a349f6f76c2c03ced9fdc2fa,1,USGS,ASD,AV01
SPC-000029,712fc9a4bdf9b1e0a318256ed826deda66f0a38a,1,USGS,ASD,AV01
SPC-000030,5b1934eb947461717ca9e1e90e3ac19f357695c2,1,USGS,ASD,AV01
SPC-000031,394c17f0df5a75d90c13f7600f051abdbbf5b324,1,USGS,ASD,AV01
SPC-000032,a767aece003d39d07a0a89925a535f54f4803b4a,1,USGS,ASD,AV01
SPC-000033,cea6a15ee79f88ec85ef47db000804bd8a95e1f7,1,USGS,ASD,AV05
SPC-000034,28915b321dfbf7eba14460969784c31b2191af06,1,USGS,ASD,AV05
SPC-000035,209cfc693fa09d91b2210b44942f874a01a6f074,1,USGS,ASD,AV05
SPC-000036,9f155c0a8905abddddb0788d1cbaf23f7a3cc83c,1,USGS,ASD,AV05
SPC-000037,6760868de3520e17ea2618fb2855bb801fa19211,1,USGS,ASD,AV05
SPC-000038,2c36e9a4dc3801d5e8d0b6326e3aa36752f927eb,1,USGS,ASD,AV06
SPC-000039,39f96b1cc766fb6c096fa75a326aef3ccaf57a6b,1,USGS,ASD,AV06
SPC-000040,039137861c23ae9eaa936c564820930f8277e380,1,USGS,ASD,AV06
SPC-000041,5d2c1760904921fb6a4260ac7e242e759f9b9596,1,USGS,ASD,AV06
SPC-000042,c71615e194926e803dbd97372a6883ae56dd385e,1,USGS,ASD,AV06
SPC-000043,94ca6c02d02235960ab75ec6a610d1736c0bc7d9,1,USGS,ASD,AV09
SPC-000044,c64ac0bb0b936a3e13e2ca9f46ca6eea8152d9f8,1,USGS,ASD,AV09
SPC-000045,7173d1cfc68baeca3965af20fc17982b59435141,1,USGS,ASD,AV09
SPC-000046,855dd3d4827363be9ff6d0b1a09d8b9ce00d5f9a,1,USGS,ASD,AV09
SPC-000047,31fde53be50513e5a1c0865fff7186042172f07e,1,USGS,ASD,AV09
SPC-000048,8b1e889d6c8e6ea30e2735944605e0af4ab0b446,1,USGS,ASD,AV10
SPC-000049,1034f386716987d8d4bed643c0690ba6a264f973,1,USGS,ASD,AV10
SPC-000050,56b08e278d11a55a9eca1ebaa154749a55ffd526,1,USGS,ASD,AV10
SPC-000051,bed3f0eea721c556f541f467d71cd71a0e4e53b0,1,USGS,ASD,AV10
SPC-000052,5a5a51cef13fe175f6a41a49a4ea51812a13653a,1,USGS,ASD,AV10
SPC-000053,8ed3b2a55e0f4746a5a2de422e7050e21c3f51f0,1,USGS,ASD,AV11
SPC-000054,c7883238b9af1123929f414bfc42fca2d1997c70,1,USGS,ASD,AV11
SPC-000055,5940b90397a643343daad67379f2e0adfc1f6168,1,USGS,ASD,AV11
SPC-000056,5d61d85e731064403179e2a6e35468ceb39d1e85,1,USGS,ASD,AV11
SPC-000057,ffd612bfa43c6dcaa2c7ba9c99fdd20cc5df63ce,1,USGS,ASD,AV11
SPC-000058,408c01b932a416062968f4906a9283a8cd97a2b7,1,USGS,ASD,AV12
SPC-000059,16be0debdca96f2abe380daa2575a700c055469a,1,USGS,ASD,AV12
SPC-000060,dbeb5ff4a46453a11b965d6461ca1156e17d4b93,1,USGS,ASD,AV12
SPC-000061,9fb48d7cf209bf4fc5cba0cd9ebc7fd2118fb99f,1,USGS,ASD,AV12
SPC-000062,a92f16b9c2199b766cb762110a35dd03a7eaa8eb,1,USGS,ASD,AV12
SPC-000063,6cdcb06ccf1d7218f2363354a1cddbb20972be92,1,USGS,ASD,AV13
SPC-000064,9482ce3a7eeacef113df44a914d704619cd00afa,1,USGS,ASD,AV13
SPC-000065,27d22a499a51e5a0db63f414ee350754bba408c7,1,USGS,ASD,AV13
SPC-000066,24f55e27ac6f7d75c6ed50c2bed064c9d421faca,1,USGS,ASD,AV13
SPC-000067,156fadf9eba8bc9ad5bcefe4a86cf630dd42637c,1,USGS,ASD,AV13
SPC-000068,e7fb465e1acae2eb0f55a04edc6088a9a482a0dc,1,USGS,ASD,AV14
SPC-000069,5982d2e94e4301fa0619ff0aee8a6b7809f6d6a6,1,USGS,ASD,AV14
SPC-000070,f79585f52ac237c74a79be9b70424c8c031f46a9,1,USGS,ASD,AV14
SPC-000071,a2b6198533f13e71c5bcc25dcefd31f9cde2644f,1,USGS,ASD,AV14
SPC-000072,7de95ba6550d9e009068841eec114266e3be02f2,1,USGS,ASD,AV14
SPC-000073,e15e5470790ce7eea933e9e142300ad96ab93490,1,USGS,ASD,AV95
SPC-000074,5ca62872e3d81cae8059f2eabc709de7c62fc52e,1,USGS,ASD,AV95
SPC-000075,8a492512cb399edfa3574fdfcb6b595f4af444f3,1,USGS,ASD,AV95
SPC-000076,23976211ddb52d38a262e5e3fd730bc983404bb9,1,USGS,ASD,AV95
SPC-000077,15e1e3606bcf3800d7911be3ece77dc24f72e5bf,1,USGS,ASD,AV95
SPC-000078,3f7699cd17e15256d98dbf1107954893488559cd,1,USGS,ASD,AV96
SPC-000079,aa65e390f61da57c96cecb5872dd89381edaa523,1,USGS,ASD,AV96
SPC-000080,2ab7d8ff9e49c22a5a27f8c72c2d884d5c589905,1,USGS,ASD,AV96
SPC-000081,0675107e8e1b74efe435fde7e0844009c5bbaa93,1,USGS,ASD,AV96
SPC-000082,a907ed7f2cf72b8f9451cd876d289acb0d7056c8,1,USGS,ASD,AV96
SPC-000083,96ddacfc80d44df6c74d74e665179dc6fb476d09,1,USGS,ASD,AV97
SPC-000084,f4b31c5c72b2546319c3bf09ab572c99f9910ff2,1,USGS,ASD,AV97
SPC-000085,bd65f038dc777e1ed18972600b8295a63b8d1845,1,USGS,ASD,AV97
SPC-000086,d8e1a0a558c84a8ffd116620303e7151e0664f69,1,USGS,ASD,AV97
SPC-000087,a5a727526bbf6576cc0254950c6885f1769b4d7e,1,USGS,ASD,AV97
SPC-000088,2b1ded0baefb6da8f83bd01aa961d7faab16c60c,1,USGS,ASD,AV98
SPC-000089,bc528cde4968b6d23114e9dc83a6d72f3d3fe0ff,1,USGS,ASD,AV98
SPC-000090,631a1f0527ba3900bff5b768c32882750e48696e,1,USGS,ASD,AV98
SPC-000091,e3f2b3165a220abd34722ab8642dbacf54702642,1,USGS,ASD,AV98
SPC-000092,6fa8e1af6938cf3fcd215d39c27cd40adfd6834f,1,USGS,ASD,AV98
SPC-000093,a136c125d15b711bd0a30091725aaefc3c936bcb,1,USGS,ASD,AV99
SPC-000094,ac74e6d2ce68ae6c8e2199a7bd9854373f0adbc9,1,USGS,ASD,AV99
SPC-000095,8dac44f1b81ffe247628dbf08839069f87d818b1,1,USGS,ASD,AV99
SPC-000096,03af84b0ab3dbe06340221a658839e5ebaa17adf,1,USGS,ASD,HS113.3B-HCL
SPC-000097,6f2fc9d11f25f18df4f3e269456eade250fe1c10,1,USGS,ASD,NMNH155371
SPC-000098,87cecde356ebc77acd839d04a7090f9bbd6ced15,1,USGS,ASD,WS483
SPC-000099,898f6dafda2e76ee4e16d3571555b9352c6fa0c4,1,USGS,ASD,WS484
SPC-000100,9fc86a558163534b8bdb04a4c1b4a91f1e5a8462,1,USGS,ASD,WS485
SPC-000101,0574c0bae847362d1a15d7e2fb4df7cf4149095b,2,RELAB,UNKNOWN,c1sm67
SPC-000102,3241666b2ecaf420b13f136cd6c0409dcdccd46f,2,RELAB,UNKNOWN,c1sm74
SPC-000103,9d1161ede379d7ad1ff78eaf4c2c4cb2ff13acf6,2,RELAB,UNKNOWN,s1sm67
SPC-000104,5d9f710774b336ced23edf22b223425d606bfd1d,2,RRUFF,Raman,R040159
SPC-000105,149e0b122e42d1df9a7e8110f65ca061fee53088,2,RRUFF,Raman,R050112
SPC-000106,aa4c660d69049542b2ff37c04d91074dd659eb23,2,RRUFF,Raman,R050113
SPC-000107,9daccb14e989728ab48cd32c617dceeab8b01976,2,RRUFF,Raman,R050446
SPC-000108,3a205f33fe430e519e96a3924ebd5c0c96232c6b,2,RRUFF,Raman,R060441
SPC-000109,2f5347f5503023a5fb7658efee0223537341af13,2,RRUFF,Raman,R060445
SPC-000110,89d9631e36a9fac68e2f602b49d95711e74646b1,2,RRUFF,Raman,R060448
SPC-000111,45875170f30b33bcf0b01caf5a422f45113d6e71,2,RRUFF,Raman,R070637
SPC-000112,e7722c837a3b04ca2265dfa97ef5055f62ae4cfb,2,RRUFF,Raman,R080060
SPC-000113,843e14d66e8667d29270baf39eaec2b07bae19bc,2,RRUFF,Raman,R100153
SPC-000114,f1a9f7cdabb9ce25e17e9c30c534a39dc2230311,2,RRUFF,UNKNOWN,X050130_Raman_514_Raman_Data_Processed_981f5bf67b1bdbbb2ee972bd50ed
SPC-000115,57179e495b2fe79523dbc734c7a177b5380f6da7,2,RRUFF,UNKNOWN,X050131_Raman_514_Raman_Data_Processed_32f3c94d4f4d3a32a009a7b53617
SPC-000116,6e25c8691e665b501f6a0b330117a65e6876a513,2,RRUFF,UNKNOWN,X050190_Raman_785_Raman_Data_Processed_4850f388906198a05bb2fbb446da
SPC-000117,ec3d87519a70fff48dd5d368fb8c5b95ec9f4290,3,RELAB,UNKNOWN,c1gn10a
SPC-000118,362b932b676b87cf68aa8ca4b3d4217f1fdfb5a0,3,RELAB,UNKNOWN,c1mx60
SPC-000119,815f6ec9efde657388d3f250454d22d30f463a5c,3,RELAB,UNKNOWN,cagn04
SPC-000120,bedaf2c8559851c820255a8178ec254f811ab25e,3,RELAB,UNKNOWN,m1gn04
SPC-000121,086c4e3b30c0aea5e0be271d39ed637db21bc693,3,RRUFF,Raman,R040001
SPC-000122,529232f40dca0d6f94cf1b00e37335a0881133d5,3,RRUFF,Raman,R050256
SPC-000123,54b9297aa78bc59f74cd58ced276d3313bb8fda0,3,RRUFF,Raman,R050311
SPC-000124,7a6157a6c071d81425e87078cb991b72ef73b7f4,3,RRUFF,Raman,R050377
SPC-000125,8dfb836f8021737a40489050538e2610b52983ee,3,RRUFF,Raman,R060326
SPC-000126,8c4b71ff70da7dbd16a985a62fbb1a13081fed7a,3,RRUFF,Raman,R060350
SPC-000127,e2d6bd9d2b3c697b3a85a7542def77e4ad432c82,3,RRUFF,Raman,R060358
SPC-000128,8c8c00ebf52f180622ffdd1384032dfd59c9e5e0,3,RRUFF,Raman,R060423
SPC-000129,1fde62f36d6576a34f970072fde0bb79511df539,3,RRUFF,Raman,R060449
